真异常	新数据	假异常	准确率	错误率	敏感度	特效性	精度	精度和召回率的调和均值
264		1548	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
287		1134	381		79.67%	20.33%	84.66%	55.62%	84.66%	84.66%
199		4809	1197	49.53%	50.47%	51.81%	38.57%	51.81%	51.81%
505		932		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
264		1342	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
33		180		4		83.77%	16.23%	99.84%	6.4%	99.84%	99.84%
200		3746	1201	49.43%	50.57%	51.65%	38.76%	51.65%	51.65%
200		5095	1196	49.6%	50.4%	51.85%	38.76%	51.85%	51.85%
265		168		155		86.47%	13.53%	93.76%	51.36%	93.76%	93.76%
505		466		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
264		800		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
505		471		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
202		4155	1197	49.63%	50.37%	51.81%	39.15%	51.81%	51.81%
233		761		50		88.9%	11.1%	97.99%	45.16%	97.99%	97.99%
199		4274	1201	49.4%	50.6%	51.65%	38.57%	51.65%	51.65%
363		2776	381		82.2%	17.8%	84.66%	70.35%	84.66%	84.66%
82		949		854		57.07%	42.93%	65.62%	15.89%	65.62%	65.62%
264		1319	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
363		2195	379		82.27%	17.73%	84.74%	70.35%	84.74%	84.74%
505		455		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
438		2757	365		85.23%	14.77%	85.31%	84.88%	85.31%	85.31%
200		2591	1197	49.57%	50.43%	51.81%	38.76%	51.81%	51.81%
264		941		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
89		3547	1261	43.73%	56.27%	49.24%	17.25%	49.24%	49.24%
199		3913	1199	49.47%	50.53%	51.73%	38.57%	51.73%	51.73%
125		1804	424		72.83%	27.17%	82.93%	24.22%	82.93%	82.93%
246		863		80		88.33%	11.67%	96.78%	47.67%	96.78%	96.78%
264		912		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
438		2535	365		85.23%	14.77%	85.31%	84.88%	85.31%	85.31%
505		473		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
264		1176	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
264		896		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
505		468		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
505		2572	368		87.37%	12.63%	85.19%	97.87%	85.19%	85.19%
279		2013	357		80.2%	19.8%	85.63%	54.07%	85.63%	85.63%
505		464		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
246		983		77		88.43%	11.57%	96.9%	47.67%	96.9%	96.9%
264		1208	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
264		1149	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
202		2691	1190	49.87%	50.13%	52.09%	39.15%	52.09%	52.09%
279		2447	357		80.2%	19.8%	85.63%	54.07%	85.63%	85.63%
505		458		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
199		1637	1194	49.63%	50.37%	51.93%	38.57%	51.93%	51.93%
264		1012	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
264		592		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
264		783		150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
287		1979	377		79.8%	20.2%	84.82%	55.62%	84.82%	84.82%
283		1025	357		80.33%	19.67%	85.63%	54.84%	85.63%	85.63%
505		468		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
309		525		112		89.37%	10.63%	95.49%	59.88%	95.49%	95.49%
198		1782	1194	49.6%	50.4%	51.93%	38.37%	51.93%	51.93%
200		1371	1207	49.23%	50.77%	51.41%	38.76%	51.41%	51.41%
264		1422	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
12		994		246		75%	    25%	    90.1%	2.33%	90.1%	90.1%
438		3084	365		85.23%	14.77%	85.31%	84.88%	85.31%	85.31%
264		1438	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
232		851		34		89.4%	10.6%	98.63%	44.96%	98.63%	98.63%
200		3763	1197	49.57%	50.43%	51.81%	38.76%	51.81%	51.81%
200		2690	1196	49.6%	50.4%	51.85%	38.76%	51.85%	51.85%
505		2985	362		87.57%	12.43%	85.43%	97.87%	85.43%	85.43%
145		1597	1155	49.13%	50.87%	53.5%	28.1%	53.5%	53.5%
505		471		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
232		681		45		89.03%	10.97%	98.19%	44.96%	98.19%	98.19%
505		463		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
264		869		191		85.23%	14.77%	92.31%	51.16%	92.31%	92.31%
505		443		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
279		1836	369		79.8%	20.2%	85.14%	54.07%	85.14%	85.14%
199		2588	1197	49.53%	50.47%	51.81%	38.57%	51.81%	51.81%
232		660		40		89.2%	10.8%	98.39%	44.96%	98.39%	98.39%
264		1509	150		86.6%	13.4%	93.96%	51.16%	93.96%	93.96%
426		1007	1113	59.9%	40.1%	55.19%	82.56%	55.19%	55.19%
505		458		360		87.63%	12.37%	85.51%	97.87%	85.51%	85.51%
12		787		244		75.07%	24.93%	90.18%	2.33%	90.18%	90.18%
