真异常	新数据	假异常	准确率	错误率	敏感度	特效性	精度	精度和召回率的调和均值
226		89		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		333		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
229		72		6		90.23%	9.77%	99.76%	44.38%	99.76%	99.76%
8		273		919		52.43%	47.57%	63%	    1.55%	63%	    63%
226		64		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
197		9		2		89.3%	10.7%	99.92%	38.18%	99.92%	99.92%
227		0		6		90.17%	9.83%	99.76%	43.99%	99.76%	99.76%
229		102		6		90.23%	9.77%	99.76%	44.38%	99.76%	99.76%
225		102		1		90.27%	9.73%	99.96%	43.6%	99.96%	99.96%
8		241		919		52.43%	47.57%	63%	    1.55%	63%	    63%
226		1		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
8		240		919		52.43%	47.57%	63%	    1.55%	63%	    63%
229		2		5		90.27%	9.73%	99.8%	44.38%	99.8%	99.8%
228		54		5		90.23%	9.77%	99.8%	44.19%	99.8%	99.8%
229		3		5		90.27%	9.73%	99.8%	44.38%	99.8%	99.8%
3		645		2103	12.8%	87.2%	15.34%	0.58%	15.34%	15.34%
8		27		465		67.57%	32.43%	81.28%	1.55%	81.28%	81.28%
226		62		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
3		14		2105	12.73%	87.27%	15.26%	0.58%	15.26%	15.26%
8		246		919		52.43%	47.57%	63%	    1.55%	63%	    63%
1		614		2107	12.6%	87.4%	15.18%	0.19%	15.18%	15.18%
229		1		5		90.27%	9.73%	99.8%	44.38%	99.8%	99.8%
226		0		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
227		0		5		90.2%	9.8%	99.8%	43.99%	99.8%	99.8%
229		5		5		90.27%	9.73%	99.8%	44.38%	99.8%	99.8%
227		61		3		90.27%	9.73%	99.88%	43.99%	99.88%	99.88%
228		10		4		90.27%	9.73%	99.84%	44.19%	99.84%	99.84%
226		8		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
77		10		12		84.97%	15.03%	99.52%	14.92%	99.52%	99.52%
8		236		919		52.43%	47.57%	63%	    1.55%	63%	    63%
226		66		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		85		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
8		238		919		52.43%	47.57%	63%	    1.55%	63%	    63%
8		36		911		52.7%	47.3%	63.33%	1.55%	63.33%	63.33%
226		60		3		90.23%	9.77%	99.88%	43.8%	99.88%	99.88%
8		241		919		52.43%	47.57%	63%	    1.55%	63%	    63%
228		62		4		90.27%	9.73%	99.84%	44.19%	99.84%	99.84%
226		58		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		62		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
230		170		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
226		61		3		90.23%	9.77%	99.88%	43.8%	99.88%	99.88%
8		251		919		52.43%	47.57%	63%	    1.55%	63%	    63%
230		0		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
226		71		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		10		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		90		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
226		275		2		90.27%	9.73%	99.92%	43.8%	99.92%	99.92%
226		150		3		90.23%	9.77%	99.88%	43.8%	99.88%	99.88%
8		241		919		52.43%	47.57%	63%	    1.55%	63%	    63%
67		140		1224	44.23%	55.77%	50.72%	12.98%	50.72%	50.72%
230		186		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
230		499		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
226		71		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
230		1		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
1		625		2107	12.6%	87.4%	15.18%	0.19%	15.18%	15.18%
226		15		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
228		61		6		90.2%	9.8%	99.76%	44.19%	99.76%	99.76%
229		1		5		90.27%	9.73%	99.8%	44.38%	99.8%	99.8%
229		172		6		90.23%	9.77%	99.76%	44.38%	99.76%	99.76%
8		48		917		52.5%	47.5%	63.08%	1.55%	63.08%	63.08%
48		41		1215	43.9%	56.1%	51.09%	9.3%	51.09%	51.09%
8		241		919		52.43%	47.57%	63%	    1.55%	63%	    63%
228		144		5		90.23%	9.77%	99.8%	44.19%	99.8%	99.8%
8		246		919		52.43%	47.57%	63%	    1.55%	63%	    63%
225		0		1		90.27%	9.73%	99.96%	43.6%	99.96%	99.96%
8		257		919		52.43%	47.57%	63% 	1.55%	63%	    63%
226		4		2		90.27%	9.73%	99.92%	43.8%	99.92%	99.92%
229		0		6		90.23%	9.77%	99.76%	44.38%	99.76%	99.76%
228		3		5		90.23%	9.77%	99.8%	44.19%	99.8%	99.8%
226		2		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
84		6		964		53.47%	46.53%	61.19%	16.28%	61.19%	61.19%
8		246		919		52.43%	47.57%	63%	    1.55%	63% 	63%
230		157		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
228		7		6		90.2%	9.8%	99.76%	44.19%	99.76%	99.76%
226		60		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
8		170		919		52.43%	47.57%	63%	    1.55%	63%	    63%
31		1		0		83.83%	16.17%	100%	6.01%	100%	100%
230		1		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
226		6		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
229		465		4		90.3%	9.7%	99.84%	44.38%	99.84%	99.84%
227		0		4		90.23%	9.77%	99.84%	43.99%	99.84%	99.84%
226		59		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
230		74		6		90.27%	9.73%	99.76%	44.57%	99.76%	99.76%
226		149		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
8		254		919		52.43%	47.57%	63%	1.55%	63%	63%
226		169		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
8		250		919		52.43%	47.57%	63%	1.55%	63%	63%
8		244		919		52.43%	47.57%	63%	1.55%	63%	63%
1		18		2107		12.6%	87.4%	15.18%	0.19%	15.18%	15.18%
229		169		4		90.3%	9.7%	99.84%	44.38%	99.84%	99.84%
226		6		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
227		153		4		90.23%	9.77%	99.84%	43.99%	99.84%	99.84%
8		248		919		52.43%	47.57%	63%	1.55%	63%	63%
1		53		2104		12.7%	87.3%	15.3%	0.19%	15.3%	15.3%
228		86		5		90.23%	9.77%	99.8%	44.19%	99.8%	99.8%
8		245		919		52.43%	47.57%	63%	1.55%	63%	63%
229		1		6		90.23%	9.77%	99.76%	44.38%	99.76%	99.76%
226		162		1		90.3%	9.7%	99.96%	43.8%	99.96%	99.96%
227		66		3		90.27%	9.73%	99.88%	43.99%	99.88%	99.88%
